endereco,tamanho_m2,link,telefone_imobiliaria,telefone_vendedor,fonte,regiao_poligono_id,latitude,longitude,titulo,motivo_exclusao
"Rua da Lagoa Feia, 290 - Itaquera, São Paulo - SP",63,https://www.vivareal.com.br/imovel/sobrado-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-63m2-venda-RS450000-id-2871318802/,(11) 2155-8800,,www.vivareal.com.br,,-23.556473,-46.453438,"Sobrados para venda com Churrasqueira e 63 m² em Itaquera na Zona Leste - São Paulo, SP  - Viva Real",
"Rua Jaguaruna, 210 - Itaquera, São Paulo - SP",65,https://www.vivareal.com.br/imovel/sobrado-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-65m2-venda-RS299000-id-2880790973/,(11) 3571-6696,,www.vivareal.com.br,,-23.527383,-46.452892,"Sobrados para venda com Sacada e 65 m² em Itaquera na Zona Leste - São Paulo, SP  - Viva Real",
"Rua Caicó, 442 - Cidade Patriarca, São Paulo - SP",120,https://www.vivareal.com.br/imovel/sobrado-3-quartos-cidade-patriarca-zona-leste-sao-paulo-com-garagem-120m2-venda-RS745000-id-2567569232/,(11) 2155-8800,,www.vivareal.com.br,,-23.535109,-46.503466,"Sobrados para venda com Churrasqueira e 120 m² em Cidade Patriarca na Zona Leste - São Paulo, SP  - Viva Real",
CEP 08079-354,120,https://www.vivareal.com.br/imovel/sobrado-3-quartos-cidade-patriarca-zona-leste-sao-paulo-com-garagem-120m2-venda-RS780000-id-2796931955/,(11) 98635-6646,(11) 3772-6265,www.vivareal.com.br,,-23.532025,-46.509992,"Sobrados para venda com Sacada e 120 m² em Cidade Patriarca na Zona Leste - São Paulo, SP  - Viva Real",
CEP 08079-354,120,https://www.vivareal.com.br/imovel/sobrado-3-quartos-cidade-patriarca-zona-leste-sao-paulo-com-garagem-120m2-venda-RS795000-id-2774672641/,(11) 94846-6244,(11) 4172-1313,www.vivareal.com.br,,-23.532891,-46.507945,"Sobrados para venda com Ar condicionado e 120 m² em Cidade Patriarca na Zona Leste - São Paulo, SP  - Viva Real",
"Rua Vitória da Conquista, 174 A - Cidade Patriarca, São Paulo - SP",142,https://www.vivareal.com.br/imovel/sobrado-3-quartos-cidade-patriarca-zona-leste-sao-paulo-com-garagem-142m2-venda-RS799000-id-2846900138/,(11) 99110-4782,(11) 2744-0100,www.vivareal.com.br,,-23.539169,-46.500978,"Sobrados para venda com Churrasqueira e 142 m² em Cidade Patriarca na Zona Leste - São Paulo, SP  - Viva Real",
"Rua Marcos Grotti Vidal, 232 - Cidade Patriarca, São Paulo - SP",160,https://www.vivareal.com.br/imovel/sobrado-3-quartos-cidade-patriarca-zona-leste-sao-paulo-com-garagem-160m2-venda-RS1100000-id-2883154123/,(11) 2155-8800,,www.vivareal.com.br,,-23.536865,-46.512587,"Sobrados para venda com Churrasqueira e 160 m² em Cidade Patriarca na Zona Leste - São Paulo, SP  - Viva Real",
CEP 08079-354,169,https://www.vivareal.com.br/imovel/sobrado-3-quartos-cidade-patriarca-zona-leste-sao-paulo-com-garagem-169m2-venda-RS795000-id-2567773185/,(11) 96593-5749,(11) 2682-2320,www.vivareal.com.br,,-23.534403,-46.498817,"Sobrados para venda com Churrasqueira e 169 m² em Cidade Patriarca na Zona Leste - São Paulo, SP  - Viva Real",
"Rua Mazagão, 65 - Cidade Patriarca, São Paulo - SP",190,https://www.vivareal.com.br/imovel/sobrado-3-quartos-cidade-patriarca-zona-leste-sao-paulo-com-garagem-190m2-venda-RS890000-id-2869660708/,(11) 2155-8801,,www.vivareal.com.br,,-23.535598,-46.499326,"Sobrados para venda com Churrasqueira e 190 m² em Cidade Patriarca na Zona Leste - São Paulo, SP  - Viva Real",
"Rua Marialva, 294 - Cidade Patriarca, São Paulo - SP",226,https://www.vivareal.com.br/imovel/sobrado-3-quartos-cidade-patriarca-zona-leste-sao-paulo-com-garagem-226m2-venda-RS790000-id-2795163419/,(11) 2385-7633,,www.vivareal.com.br,,-23.541065,-46.511022,"Sobrados para venda com   e 226 m² em Cidade Patriarca na Zona Leste - São Paulo, SP  - Viva Real",
"Rua Mazagão, 322 - Cidade Patriarca, São Paulo - SP",227,https://www.vivareal.com.br/imovel/sobrado-3-quartos-cidade-patriarca-zona-leste-sao-paulo-com-garagem-227m2-venda-RS641000-id-2833843713/,(11) 97395-3363,(11) 3565-3530,www.vivareal.com.br,,-23.537511,-46.498174,"Sobrados para venda com   e 227 m² em Cidade Patriarca na Zona Leste - São Paulo, SP  - Viva Real",
CEP 08079-354,263,https://www.vivareal.com.br/imovel/sobrado-3-quartos-cidade-patriarca-zona-leste-sao-paulo-com-garagem-263m2-venda-RS990000-id-2804358420/,(11) 94084-8316,(11) 2958-8884,www.vivareal.com.br,,-23.532777,-46.508562,"Sobrados para venda com   e 263 m² em Cidade Patriarca na Zona Leste - São Paulo, SP  - Viva Real",
CEP 08079-354,287,https://www.vivareal.com.br/imovel/sobrado-3-quartos-cidade-patriarca-zona-leste-sao-paulo-com-garagem-287m2-venda-RS1150000-id-2840293965/,(11) 96272-6666,(11) 2287-6666,www.vivareal.com.br,,-23.540266,-46.497668,"Sobrados para venda com   e 287 m² em Cidade Patriarca na Zona Leste - São Paulo, SP  - Viva Real",
